"","study_name","id","lambda.best","alpha.best","eta.best","delta.best"
"274","Sokol_Hessner2013R","175",5.352e+43,200.29,0.2011,NA
"275","Vrecko2012","175",0.88503,1.2896,2.7522,0.53668
"276","Sokol_Hessner2013A","176",8.0589,0.73417,1.8766,NA
"277","Sokol_Hessner2013R","176",2.2518,0.68602,3.0563,NA
"278","Vrecko2012","176",0.4978,1.0214,3.0817,0.93702
"279","Sokol_Hessner2013A","177",1.42054913403256,1.38656741553021,1.03063935163091,NA
"280","Sokol_Hessner2013R","177",1.24244149256905,1.12644972474783,1.18646977909214,NA
"281","Vrecko2012","177",0.0059819,2.0841,9.9654,0.59032
"282","Sokol_Hessner2013A","178",1.5871,1.0246,1.3897,NA
"283","Sokol_Hessner2013R","178",1.226,0.91793,1.0664,NA
"284","Vrecko2012","178",1.0543,0.84322,0.96028,0.77395
"285","Vrecko2012","179",0.734775976,0.879299969,4.802898955,0.634283743
"286","Canessa2013","18",4.7506,1.4753,0.11093,NA
"287","Chib2014","18",2.074,0.55927,4.1712,NA
"288","Frydman2014","18",1.2004,0.8256,2.2708,NA
"289","Gloeckner2012","18",0.95855,1.4651,0.020746,1.8426
"290","Kocher2011","18",2.9094,0.0035426,0.10712,0.70311
"291","Lorains2014","18",1.8329,0.78465,2.494,NA
"292","Pahlke2012","18",675838.065039996,0.983929420288599,1.02885364015352,0.728513073961969
"293","Pighin2014","18",2.02828331905978,0.695238095873807,1.15481736182387,NA
"294","Rieskamp2008","18",0.63689,0.74021,0.12636,0.85924
"295","Sokol_Hessner2014","18",0.82456129342493,0.874067362380144,2.05741015752753,NA
"296","Vrecko2012","18",0.823657576,1.048586456,4.6008495,1.331497175
"297","Zeisberger2012","18",0.9144,0.89807,1.6452,0.87026
"298","Sokol_Hessner2013A","180",1.34446679395763,0.909397920926481,5.25227242092112,NA
"299","Sokol_Hessner2013R","180",1.121,0.94683,3.5637,NA
"300","Vrecko2012","180",0.800922142,1.567330005,6.940763175,0.488452189
"301","Sokol_Hessner2013A","181",4.09972127484118,0.71988385321838,1.93784319561223,NA
"302","Sokol_Hessner2013R","181",2.1332,0.68584,4.9708,NA
"303","Vrecko2012","181",1.3439,0.7796,2.0345,0.89567
"304","Sokol_Hessner2013A","182",0.57062,1.7144,0.72616,NA
"305","Sokol_Hessner2013R","182",0.55151,1.3951,0.95423,NA
"306","Vrecko2012","182",5496.349461,7.876275032,3.161926794,8.741359646
"307","Sokol_Hessner2013A","183",1.89062899050592,0.773539834087546,1.11123814384529,NA
"308","Sokol_Hessner2013R","183",1.5254,0.95357,0.85501,NA
"309","Vrecko2012","183",1,0.99416,1.0165,0.9981
"310","Sokol_Hessner2013A","184",1.46984842176663,0.691004122565213,2.61658407793163,NA
"311","Sokol_Hessner2013R","184",0.889722614353517,0.929581777036419,1.16250782184318,NA
"312","Vrecko2012","184",0.39215,1.0324,3.5964,0.93325
"313","Sokol_Hessner2013A","185",1.08348192700659,0.542986014772102,11.0222956555236,NA
"314","Sokol_Hessner2013R","185",1.1262,0.57162,5.5745,NA
"315","Vrecko2012","185",1.006345367,0.951871142,4.635427467,0.71196728
"316","Vrecko2012","186",0.62668,0.91242,5.833,0.81151
"317","Sokol_Hessner2013A","187",0.971713112474012,0.765324921755852,2.64616984235565,NA
"318","Sokol_Hessner2013R","187",0.884649234492105,0.701892429072498,2.40725482039544,NA
"319","Vrecko2012","187",0.008190571,4.383139711,3.666640689,5.586485119
"320","Vrecko2012","188",1.0382,0.88032,2.5365,0.78596
"321","Sokol_Hessner2013A","189",0.722023591328192,0.962016184790423,1.39221822373106,NA
"322","Sokol_Hessner2013R","189",0.50674,1.1277,0.9054,NA
"323","Vrecko2012","189",0.045715,1.0284,1.9104,0.80641
"324","Canessa2013","19",1.1168,0.32467,1904.9,NA
"325","Chib2014","19",3.58701847586953,1.88961535994945,0.456666569660248,NA
"326","Frydman2014","19",1.1231,1.1268,5.6308,NA
"327","Gloeckner2012","19",3.2939,0.67959,0.01714,0.73771
"328","Kocher2011","19",2.73641408380652,1.76298303968006,0.607971865039305,0.438625679261374
"329","Lorains2014","19",2.644,0.88503,69.073,NA
"330","Pahlke2012","19",1.12459329457955,1.32875772657923,1.44477706580663,0.526127456289879
"331","Pighin2014","19",1.0268,0.012959,1.24e+217,NA
"332","Rieskamp2008","19",5.82055908745675,1.29184732356451,0.142877192825484,0.42983546620364
"333","Sokol_Hessner2014","19",2.1294,1.1192,0.584,NA
"334","Vrecko2012","19",3.3122,1.5912,5.6878,0.49662
"335","Zeisberger2012","19",3144.840858,7.346621877,3.240207083,8.388329528
"336","Sokol_Hessner2013A","190",1.06301339468943,0.844718263197265,1.68193711064151,NA
"337","Sokol_Hessner2013R","190",0.721618069112772,0.821576639171183,1.80737266003106,NA
"338","Vrecko2012","190",0.004254445,4.988007506,8.153031323,5.138360767
"339","Sokol_Hessner2013A","191",1.5121,0.89345,1.7802,NA
"340","Sokol_Hessner2013R","191",0.92506,0.99183,0.90434,NA
"341","Vrecko2012","191",1.000406435,1.115399533,5.693251938,1.055665015
"342","Sokol_Hessner2013A","192",1.31912446505913,1.49094647902163,0.660446102147259,NA
"343","Sokol_Hessner2013R","192",0.69742,1.0572,0.90662,NA
"344","Vrecko2012","192",0.585193396,0.793682023,3.863997792,0.711293651
"345","Sokol_Hessner2013A","193",1.06499028324005,0.808121140157509,2.17163384289442,NA
"346","Sokol_Hessner2013R","193",0.73089,1.4063,1.0036,NA
"347","Vrecko2012","193",0.663431868,1.052543687,5.323969217,0.49723898
"348","Sokol_Hessner2013A","194",1.0852,1.4322,0.98152,NA
"349","Sokol_Hessner2013R","194",0.86963,1.185,1.1621,NA
"350","Vrecko2012","194",0.10268,0.9352,2.9072,0.75274
"351","Sokol_Hessner2013A","195",2.4053,1.0462,0.88791,NA
"352","Sokol_Hessner2013R","195",4.9408,2.4332,0.31546,NA
"353","Vrecko2012","195",0.12074634,0.891574182,6.78259664,0.610379757
"354","Vrecko2012","196",1.0399,0.92832,2.6768,0.6765
"355","Vrecko2012","197",0.60449,1.617,3.3436,0.51488
"356","Pahlke2012","198",1.6402397616713,1.10637301079426,1.83767717769912,0.575892951244067
"357","Vrecko2012","198",1.0234e-70,128.86,3.7652,0.0034856
"358","Pahlke2012","199",1,1,714750,NA
"359","Vrecko2012","199",1,1,6.9405e-15,1
"360","Canessa2013","2",0.90443663553967,1.09316732049902,0.141407235844791,NA
